cd_fips	state	mrp_ideology_se	mrp_ideology	irt_ideology_unweighted	self_ideology	self_ideology_se	irt_ideology_unweighted_sd	irt_ideology_unweighted_se	sample_size	demshare_pres	presidential_year	congress	survey_period
"1000"	"Delaware"	0.06961798771960914	-0.045890452454469884	-0.018213180932210724	3.1383125864453665	0.039100791695382255	0.9604095160118977	0.03456589483971473	772	0.6263000000000001	2008	111	"2004-2011"
"1000"	"Delaware"	0.04292806797014568	-0.021340833483703414	-0.06511000351981361	2.9616963064295487	0.039263415716405806	0.9061729144184587	0.032098291460952014	797	0.5603	2016	114	"2012-2016"
"1000"	"Delaware"	0.040856325742931035	-0.07096432540287381	-0.07977260836756533	3.0009021199819577	0.023174730615086736	0.9724801808904545	0.01970748825487691	2435	0.5962674416498447	2020	116	"2017-2021"
"1000"	"Delaware"	0.040856325742931035	-0.07096432540287381	-0.07346944574279073	3.004878048780488	0.022907427827272373	0.9723403052228976	0.019532940960101997	2478	0.5962674416498447	2020	117	"2017-2021"
"1000"	"Delaware"	0.040856325742931035	-0.07096432540287381	-0.07629558087526876	3.000449236298293	0.023093902762987045	0.9733900411549334	0.019693602380246682	2443	0.5962674416498447	2020	118	"2017-2021"
"101"	"Alabama"	0.0687099063324039	0.20071742713884905	0.1853977120758565	3.4753694581280787	0.0520691945690153	0.9354800597674481	0.04506048892066264	431	0.38380000000000003	2008	111	"2004-2011"
"101"	"Alabama"	0.04302520321588034	0.2809949318784274	0.20368819793224588	3.3797101449275364	0.0604845814370813	0.9327310438463168	0.04759823176410417	384	0.3494	2016	114	"2012-2016"
"101"	"Alabama"	0.04137133170109388	0.19194110645358203	0.1574229194894583	3.2903508771929824	0.032736051946998225	0.9158416095868795	0.025352168646054666	1305	0.356549727012238	2020	116	"2017-2021"
"101"	"Alabama"	0.04137133170109388	0.19194110645358203	0.16063071994944889	3.2932396839332747	0.03273833206089071	0.918133464322935	0.02544487518241884	1302	0.356549727012238	2020	117	"2017-2021"
"101"	"Alabama"	0.041468380229536216	0.19110684820915744	0.1602361761761677	3.3008928571428573	0.032980436900077494	0.9191609355771126	0.02566127497063361	1283	0.35703715603557734	2020	118	"2017-2021"
"102"	"Alabama"	0.06604807654572564	0.23462251237881127	0.3342705418002504	3.6272912423625256	0.04404937192946331	0.9048915737953676	0.03999093550432947	512	0.37	2008	111	"2004-2011"
"102"	"Alabama"	0.040183335786295724	0.30641113128626857	0.3104499258396349	3.3777173913043477	0.051458484767269434	0.9152536057398197	0.04531180544619122	408	0.3371	2016	114	"2012-2016"
"102"	"Alabama"	0.03882992821244414	0.22345726656797782	0.2496914887357505	3.2541478129713424	0.029548985643965967	0.9221924280366597	0.023661521366332733	1519	0.35648186061747605	2020	116	"2017-2021"
"102"	"Alabama"	0.03882992821244414	0.22345726656797782	0.23804478251329036	3.2450980392156863	0.029630125215283114	0.9251132830867549	0.023720853412480893	1521	0.35648186061747605	2020	117	"2017-2021"
"102"	"Alabama"	0.03889998036186779	0.22171542381444737	0.2443035993888466	3.2617100371747214	0.02919495414234589	0.9239144465982265	0.023505392958729204	1545	0.3513079118880412	2020	118	"2017-2021"
"103"	"Alabama"	0.06781255595168208	0.1519096731346944	0.13885757405944238	3.4617283950617286	0.05279915406985121	0.9317673557167945	0.045197355601444784	425	0.4343	2008	111	"2004-2011"
"103"	"Alabama"	0.04107650768738023	0.29850451356926233	0.21103367432957165	3.277439024390244	0.057011151690588215	0.9515896352071531	0.04894448950055624	378	0.3309	2016	114	"2012-2016"
"103"	"Alabama"	0.039273203891940965	0.21942375389987007	0.27191758000898103	3.426536731634183	0.02994014894456688	0.9327652804028947	0.023964372184724157	1515	0.33900916215641913	2020	116	"2017-2021"
"103"	"Alabama"	0.039273203891940965	0.21942375389987007	0.2796510108024415	3.434006211180124	0.03042386777961249	0.9305618855115706	0.024304029033526863	1466	0.33900916215641913	2020	117	"2017-2021"
"103"	"Alabama"	0.03954845272382858	0.232980664670427	0.29146003339582993	3.431594860166289	0.03011293071031707	0.9237036750759247	0.02383404226741182	1502	0.32775033405512627	2020	118	"2017-2021"
"104"	"Alabama"	0.06681437969545066	0.34660124709828566	0.2623066423095766	3.563758389261745	0.0477459656271243	0.839670064180328	0.038567323368566865	474	0.2245	2008	111	"2004-2011"
"104"	"Alabama"	0.04011104075763325	0.43068118640244557	0.3999685147753382	3.435374149659864	0.058983377094526314	0.809121329992093	0.04495118499956072	324	0.1779	2016	114	"2012-2016"
"104"	"Alabama"	0.039714993377601614	0.35158442343244656	0.3907977458074963	3.5137686860739574	0.029555801210904595	0.8851825007164089	0.023182168475712542	1458	0.17897690549381257	2020	116	"2017-2021"
"104"	"Alabama"	0.039714993377601614	0.35158442343244656	0.3991741763370303	3.5207193119624707	0.029848457865043587	0.891297848212101	0.023278547206517387	1466	0.17897690549381257	2020	117	"2017-2021"
"104"	"Alabama"	0.03952175810461624	0.34470374475919086	0.3631320459460277	3.4779635258358663	0.029522342292307945	0.8764215626379303	0.02251680348640442	1515	0.18796424680598198	2020	118	"2017-2021"
"105"	"Alabama"	0.06781248586071013	0.25624163361649077	0.28467923448436966	3.531049250535332	0.04898898111287101	0.9829818773533037	0.043916391512998934	501	0.38380000000000003	2008	111	"2004-2011"
"105"	"Alabama"	0.04212576256351859	0.3339173331248494	0.3167917297587642	3.2493074792243766	0.05351977897552931	0.9386412115319793	0.04675704917558946	403	0.326	2016	114	"2012-2016"
